16:17:34.106 {main} INFO  api.test.UserTests -=================Creating user================
16:17:36.943 {main} INFO  api.test.UserTests -=================user is created================
16:17:36.957 {main} INFO  api.test.UserTests -=================Reading user info================
16:17:38.580 {main} INFO  api.test.UserTests -=================User info is displayed================
16:17:38.584 {main} INFO  api.test.UserTests -=================Updating user================
16:17:41.757 {main} INFO  api.test.UserTests -=================User is updated================
16:17:41.760 {main} INFO  api.test.UserTests -=================Deleting user================
16:17:43.353 {main} INFO  api.test.UserTests -=================User is deleted================
19:55:57.925 {main} INFO  api.test.UserTests2 -=================Creating user================
19:56:00.837 {main} INFO  api.test.UserTests2 -=================user is created================
19:56:00.847 {main} INFO  api.test.UserTests2 -=================Reading user info================
19:56:02.472 {main} INFO  api.test.UserTests2 -=================User info is displayed================
19:56:02.475 {main} INFO  api.test.UserTests2 -=================Updating user================
19:56:05.754 {main} INFO  api.test.UserTests2 -=================User is updated================
19:56:05.757 {main} INFO  api.test.UserTests2 -=================Deleting user================
19:56:07.372 {main} INFO  api.test.UserTests2 -=================User is deleted================
16:36:08.070 {main} INFO  api.test.UserTests2 -=================Creating user================
16:36:11.215 {main} INFO  api.test.UserTests2 -=================user is created================
16:36:11.226 {main} INFO  api.test.UserTests2 -=================Reading user info================
16:36:13.203 {main} INFO  api.test.UserTests2 -=================User info is displayed================
16:36:13.205 {main} INFO  api.test.UserTests2 -=================Updating user================
16:36:16.988 {main} INFO  api.test.UserTests2 -=================User is updated================
16:36:16.992 {main} INFO  api.test.UserTests2 -=================Deleting user================
16:36:18.831 {main} INFO  api.test.UserTests2 -=================User is deleted================
17:24:15.181 {main} INFO  api.test.UserTests2 -=================Creating user================
17:24:18.207 {main} INFO  api.test.UserTests2 -=================user is created================
17:24:18.219 {main} INFO  api.test.UserTests2 -=================Reading user info================
17:24:19.942 {main} INFO  api.test.UserTests2 -=================User info is displayed================
17:24:19.943 {main} INFO  api.test.UserTests2 -=================Updating user================
17:24:23.624 {main} INFO  api.test.UserTests2 -=================User is updated================
17:24:23.628 {main} INFO  api.test.UserTests2 -=================Deleting user================
17:24:25.387 {main} INFO  api.test.UserTests2 -=================User is deleted================
